Providers number;Extern attribute;Global strings number;Dex number;Intern attribute;Argument Type number;Balise number;Call number;Special strings number;Custom Argument;Affectation number;Number of sginature permission;Number of Dangerous permission;Average size of class;Services number;Android API;Receivers Numbers;Unicode number;URL Number;Weighted Method per class;Reponse for class;Class number;Permission number;Other Permission number;Number of child;Other Type String Number;SystemArgs;Type;Index
0;83;2281;1;16;527;10;2;0;0;51;0;5;42;0;0;2;0;6;23,26872247;46,53744493;0;13;8;0;0;0;Malware;77
1;82;3745;1;17;604;13;6;0;100;27;0;1;14;1;0;2;0;20;22,40711462;44,81422925;151;3;2;0;0;0;Malware;78
0;83;566;1;16;23;2;0;0;0;3;0;3;0;0;0;0;0;0;22,40711462;44,81422925;0;6;3;0;0;0;Malware;79
0;83;566;1;16;23;2;0;0;0;3;0;3;0;0;0;0;0;0;22,40711462;44,81422925;0;6;3;0;0;0;Malware;80
1;83;4498;1;16;1143;5;0;0;0;93;1;9;161;2;0;3;0;6;21,73958333;43,47916667;0;22;12;0;0;0;Malware;81
0;83;376;1;16;60;1;0;0;0;0;0;1;143;0;0;0;0;1;21,58075601;43,16151203;0;3;2;0;0;0;Malware;82
1;83;4431;1;16;1134;5;0;0;0;91;1;9;162;2;0;3;0;6;21,58075601;43,16151203;0;22;12;0;0;0;Malware;83
1;83;5707;1;16;1639;7;15;0;0;102;1;3;62;3;0;1;0;4;22,19753086;44,39506173;0;8;4;0;0;0;Malware;84
1;83;25891;1;16;8210;19;31;6;0;315;0;4;28;1;0;0;1;36;22,71387283;45,42774566;0;6;2;0;0;0;Malware;85
0;83;973;1;16;218;2;4;0;0;1;0;0;114;1;0;0;0;0;22,55428571;45,10857143;0;1;1;0;0;0;Malware;86
1;83;4498;1;16;1143;5;0;0;0;93;1;9;161;2;0;3;0;6;22,55428571;45,10857143;0;22;12;0;0;0;Malware;87
1;83;4309;1;16;1083;5;0;0;0;82;1;8;130;1;0;3;0;4;22,49287749;44,98575499;0;21;12;0;0;0;Malware;88
